FluorCam7 Kinetics Export File
-----------------------------------
[us]	[°C]	B1	A3	C3	C2	C1	D3	D2	D1	C4	C5	C6	D4	D5	D6	B5	B6	A4	A5	A6	E1	F5	E5	E6	F1	F2	E2	E3	F3	E4	F4	B2	A1	A2	B3	B4
450180000	30.00	51.795	53.212	106.222	103.231	93.205	93.265	82.880	77.932	85.308	72.345	75.846	94.111	82.889	76.154	76.803	71.235	53.912	46.864	37.010	101.214	94.121	83.880	78.709	92.487	112.863	104.453	82.983	125.607	103.812	123.350	69.900	50.421	41.474	56.493	59.794
480020000	30.34	53.804	56.301	103.897	98.590	95.197	91.752	86.684	74.658	80.564	76.172	79.650	91.282	87.393	82.368	77.043	67.487	52.345	44.100	40.626	101.419	91.638	84.359	77.915	91.205	112.248	102.479	90.521	136.547	102.521	117.470	65.873	49.596	43.842	56.612	57.412
480060000	30.34	53.062	55.115	107.521	102.316	94.556	97.846	81.838	81.803	82.855	74.086	78.829	94.598	87.949	79.239	84.427	74.652	59.018	52.836	46.576	98.103	94.888	89.957	80.769	93.735	109.308	106.598	96.120	130.538	98.410	118.171	69.991	50.798	40.079	54.612	71.373
480100000	30.34	52.571	51.779	102.769	100.821	90.282	96.530	76.786	74.137	72.923	71.560	80.521	93.120	89.308	85.487	81.650	67.965	55.832	49.555	44.000	99.735	94.319	88.350	83.179	90.137	111.359	105.034	87.889	127.692	101.769	112.940	62.845	51.807	45.816	55.881	66.873
480140000	30.34	51.143	56.655	101.410	98.855	91.803	95.026	82.863	75.308	82.821	72.302	82.393	96.521	85.402	82.658	79.744	65.965	56.035	49.591	42.172	100.556	92.853	84.650	78.359	83.111	108.171	99.564	86.983	130.333	104.470	116.256	65.627	49.254	42.092	53.582	68.480
480180000	30.34	52.875	54.593	108.325	101.974	91.009	91.991	83.684	83.051	84.504	73.371	82.803	93.256	84.795	83.368	77.872	75.278	61.442	48.645	43.242	101.085	93.517	92.521	80.590	86.538	107.513	109.342	91.803	125.462	105.812	118.000	70.173	50.702	44.539	59.015	67.206
510020000	30.68	56.384	57.106	106.162	102.573	90.282	98.701	84.419	78.769	80.530	73.655	89.769	93.692	87.308	80.479	73.350	74.478	60.274	49.000	46.404	97.453	88.069	91.667	81.872	89.436	111.342	104.769	86.641	127.496	107.453	119.812	65.491	49.772	43.500	58.299	63.373
510060000	30.68	57.116	56.018	101.692	96.863	93.530	93.376	82.017	79.684	82.068	72.060	82.111	93.282	83.735	79.504	73.291	69.583	56.088	50.964	44.010	106.308	96.052	88.863	79.675	92.521	113.838	102.188	85.667	129.795	99.752	117.718	68.073	52.930	39.632	59.328	65.922
510100000	30.68	52.223	56.982	105.761	101.145	94.530	97.274	82.470	79.641	78.889	75.603	84.906	91.607	88.795	80.590	76.137	75.443	55.195	46.291	42.323	89.145	86.362	89.419	80.274	85.487	108.120	104.068	92.197	129.803	102.256	121.949	69.418	51.658	48.697	54.597	66.461
510140000	30.68	51.991	55.354	109.726	93.624	94.171	96.179	80.120	77.932	76.043	73.319	80.017	87.983	85.658	83.709	73.897	69.339	49.894	42.700	41.758	97.026	86.147	86.504	81.923	91.735	112.684	101.795	89.880	133.547	99.436	113.650	68.236	48.632	43.461	56.985	65.392
510180000	30.68	53.205	54.177	105.239	99.624	89.154	94.650	79.821	73.359	83.607	71.448	82.564	89.744	87.376	73.060	77.256	72.270	52.593	46.282	43.172	96.829	93.198	86.316	80.111	88.974	106.521	98.231	90.265	130.410	103.709	120.111	68.291	50.772	42.539	49.179	64.059
540020000	31.01	53.562	58.991	96.684	97.778	93.957	94.256	79.462	78.103	79.590	73.000	83.607	91.744	88.077	82.385	80.991	71.487	54.832	50.000	43.596	100.188	92.741	86.154	83.239	92.675	112.513	106.385	82.556	126.026	104.949	120.923	68.882	50.035	44.474	54.134	67.725
